date,sentiment,sentiment_std,num_headlines
2012-01-28,0.09018999999999999,0.3042388467963945,20.0
2012-01-29,-0.06310588235294119,0.27347624151154387,17.0
2012-01-30,0.0135420588235294,0.2888575441539692,18.5
2012-01-31,0.0135420588235294,0.2888575441539692,18.5
2012-02-01,0.0135420588235294,0.2888575441539692,18.5
2012-02-02,0.0135420588235294,0.2888575441539692,18.5
2012-02-03,-0.06310588235294119,0.27347624151154387,17.0
2012-02-04,0.07844782608695651,0.4087091204071298,23.0
2012-02-05,0.03381363636363637,0.32193670368208405,22.0
2012-02-06,0.05613073122529644,0.36532291204460693,22.5
2012-02-07,0.05613073122529644,0.36532291204460693,22.5
2012-02-08,0.05613073122529644,0.36532291204460693,22.5
2012-02-09,0.05613073122529644,0.36532291204460693,22.5
2012-02-10,0.03381363636363637,0.32193670368208405,22.0
2012-02-11,0.06322666666666668,0.3631237575385131,15.0
2012-02-12,0.008418749999999996,0.29223105203492233,16.0
2012-02-13,0.03582270833333334,0.3276774047867177,15.5
2012-02-14,0.03582270833333334,0.3276774047867177,15.5
2012-02-15,0.03582270833333334,0.3276774047867177,15.5
2012-02-16,0.03582270833333334,0.3276774047867177,15.5
2012-02-17,0.008418749999999996,0.29223105203492233,16.0
2012-02-18,-0.07674,0.2487363176806582,15.0
2012-02-19,-0.12682000000000002,0.25955288016124956,15.0
2012-02-20,-0.06088148148148149,0.2839007847523328,27.0
2012-02-21,-0.08814716049382716,0.26406332753141354,19.0
2012-02-22,-0.08814716049382716,0.26406332753141354,19.0
2012-02-23,-0.08814716049382716,0.26406332753141354,19.0
2012-02-24,-0.09385074074074075,0.2717268324567912,21.0
2012-02-25,-0.057163636363636354,0.3297041215523322,22.0
2012-02-26,-0.11452500000000002,0.2960005225924441,16.0
2012-02-27,-0.08584431818181819,0.3128523220723881,19.0
2012-02-28,-0.08584431818181819,0.3128523220723881,19.0
2012-02-29,-0.05016249999999999,0.37866896802319305,8.0
2012-03-01,0.04811034482758621,0.3907636778949012,29.0
2012-03-02,0.26739999999999997,0.4025342407795888,8.0
2012-03-03,-0.18499583333333333,0.39224732576012833,24.0
2012-03-04,-0.1796772727272727,0.3788619692661146,22.0
2012-03-05,-0.07706666666666666,0.38098924598412953,12.0
2012-03-06,0.16075714285714285,0.25829795562015395,7.0
2012-03-07,-0.2950333333333333,0.1257527821649375,3.0
2012-03-08,0.07265,0.21249391952084967,6.0
2012-03-09,0.05832,0.23145469880734762,5.0
2012-03-10,-0.1329125,0.44278305759564696,16.0
2012-03-11,-0.20574285714285714,0.3180990390420188,21.0
2012-03-12,0.23065000000000005,0.3519820390777537,6.0
2012-03-13,-0.13587500000000002,0.40361345291627726,8.0
2012-03-14,0.10369090909090907,0.43660436314511947,11.0
2012-03-15,0.02814,0.19137920054175167,5.0
2012-03-16,0.12811428571428574,0.43027810086225937,7.0
2012-03-17,0.03601052631578947,0.2576376196270479,19.0
2012-03-18,-0.15280625,0.254177515402007,16.0
2012-03-19,0.1702,0.2947950474482228,4.0
2012-03-20,-0.04765714285714284,0.4286313762835076,7.0
2012-03-21,0.10444,0.37945273803202423,10.0
2012-03-22,0.057374999999999995,0.12519782096745932,8.0
2012-03-23,0.0013700000000000045,0.2209059666464444,10.0
2012-03-24,0.10201764705882353,0.1881758665382063,17.0
2012-03-25,-0.06676206896551726,0.3692592504981804,29.0
2012-03-26,-0.006650000000000017,0.34970471114927804,8.0
2012-03-27,0.0389,0.38411195912501495,7.0
2012-03-28,0.0690888888888889,0.31764735318849163,9.0
2012-03-29,-0.09836666666666666,0.27354861034598993,6.0
2012-03-30,0.023312499999999993,0.4485207866908177,8.0
2012-03-31,0.1401666666666667,0.339483050047924,21.0
2012-04-01,-0.08732799999999999,0.34629642853486087,25.0
2012-04-02,-0.10625555555555555,0.4668722502191487,9.0
2012-04-03,0.11643636363636363,0.37257217061134557,11.0
2012-04-04,0.03232307692307691,0.3229721353873835,13.0
2012-04-05,0.2966666666666667,0.209875857486171,6.0
2012-04-06,-0.2210833333333333,0.4025290193127557,6.0
2012-04-07,0.06427142857142858,0.348943250458891,14.0
2012-04-08,0.12612857142857142,0.38732447716642554,14.0
2012-04-09,-0.06644999999999997,0.4682052069694797,6.0
2012-04-10,0.053328571428571434,0.31310879083468607,14.0
2012-04-11,0.09661999999999998,0.46941795193622504,10.0
2012-04-12,0.024957142857142855,0.08410387891756,7.0
2012-04-13,-0.10446,0.12982159450569075,5.0
2012-04-14,-0.13292666666666667,0.35862658474921916,15.0
2012-04-15,-0.03823478260869565,0.336421724998609,23.0
2012-04-16,0.34921111111111114,0.3244106706165451,9.0
2012-04-17,0.1293142857142857,0.26317481657946046,7.0
2012-04-18,0.1941166666666667,0.4008892881942455,6.0
2012-04-19,-0.19746000000000002,0.2420756047188564,5.0
2012-04-20,-0.24956666666666663,0.43388195271166663,6.0
2012-04-21,-0.018344999999999993,0.2926362272087993,20.0
2012-04-22,0.04478666666666666,0.33331670298514726,30.0
2012-04-23,-0.12639999999999998,0.43029642883327146,6.0
2012-04-24,-0.05983999999999999,0.17559428920098738,5.0
2012-04-25,-0.23285,0.13657689226219785,4.0
2012-04-26,0.08435999999999999,0.2640093528646286,5.0
2012-04-27,-0.10953333333333333,0.2890849452246788,6.0
2012-04-28,0.042239999999999986,0.41414934633132844,15.0
2012-04-29,0.15261052631578945,0.3774685220682045,19.0
2012-04-30,-0.07737999999999999,0.35044123273382083,5.0
2012-05-01,-0.022471428571428562,0.3792182210596868,7.0
2012-05-02,0.20551428571428573,0.3651438207007184,7.0
